,Term,Ont,N,DE,P.DE
GO:0051641,cellular localization,BP,75,13,0.00582003186696829
GO:0001938,positive regulation of endothelial cell proliferation,BP,10,4,0.00593450139523749
GO:0071887,leukocyte apoptotic process,BP,10,4,0.00593450139523749
GO:0033554,cellular response to stress,BP,139,20,0.00630506596187811
GO:0001955,blood vessel maturation,BP,2,2,0.00654960702357858
GO:0045116,protein neddylation,BP,2,2,0.00654960702357858
GO:2000434,regulation of protein neddylation,BP,2,2,0.00654960702357858
GO:0033483,gas homeostasis,BP,2,2,0.00654960702357858
GO:0001783,B cell apoptotic process,BP,2,2,0.00654960702357858
GO:0002902,regulation of B cell apoptotic process,BP,2,2,0.00654960702357858
GO:0002903,negative regulation of B cell apoptotic process,BP,2,2,0.00654960702357858
GO:0003159,morphogenesis of an endothelium,BP,2,2,0.00654960702357858
GO:0061154,endothelial tube morphogenesis,BP,2,2,0.00654960702357858
GO:2000273,positive regulation of signaling receptor activity,BP,2,2,0.00654960702357858
GO:0006378,mRNA polyadenylation,BP,2,2,0.00654960702357858
GO:0031440,regulation of mRNA 3'-end processing,BP,2,2,0.00654960702357858
GO:0031442,positive regulation of mRNA 3'-end processing,BP,2,2,0.00654960702357858
GO:0043631,RNA polyadenylation,BP,2,2,0.00654960702357858
GO:1900363,regulation of mRNA polyadenylation,BP,2,2,0.00654960702357858
GO:1900365,positive regulation of mRNA polyadenylation,BP,2,2,0.00654960702357858
GO:0009894,regulation of catabolic process,BP,36,8,0.00658727748432123
GO:0009617,response to bacterium,BP,29,7,0.00680134265170313
GO:0006396,RNA processing,BP,29,7,0.00680134265170313
GO:0001935,endothelial cell proliferation,BP,16,5,0.00688090821716908
GO:0001667,ameboidal-type cell migration,BP,44,9,0.00712718057152533
GO:1903131,mononuclear cell differentiation,BP,77,13,0.00732697227902462
GO:0002521,leukocyte differentiation,BP,95,15,0.0076572259302405
GO:1901566,organonitrogen compound biosynthetic process,BP,37,8,0.00784085661274973
GO:0006915,apoptotic process,BP,191,25,0.00803318203390108
GO:0012501,programmed cell death,BP,191,25,0.00803318203390108
GO:0010942,positive regulation of cell death,BP,61,11,0.0081716026399961
GO:0044419,biological process involved in interspecies interaction between organisms,BP,78,13,0.00818883980359793
GO:1901701,cellular response to oxygen-containing compound,BP,114,17,0.00823720768283651
GO:0031667,response to nutrient levels,BP,45,9,0.0083071923045428
GO:0045944,positive regulation of transcription by RNA polymerase II,BP,624,64,0.00869551000182482
GO:0042795,snRNA transcription by RNA polymerase II,BP,6,3,0.00872871318165875
GO:0001974,blood vessel remodeling,BP,6,3,0.00872871318165875
GO:0036473,cell death in response to oxidative stress,BP,6,3,0.00872871318165875
GO:1900407,regulation of cellular response to oxidative stress,BP,6,3,0.00872871318165875
GO:1902882,regulation of response to oxidative stress,BP,6,3,0.00872871318165875
GO:1903201,regulation of oxidative stress-induced cell death,BP,6,3,0.00872871318165875
GO:0030279,negative regulation of ossification,BP,6,3,0.00872871318165875
GO:0070228,regulation of lymphocyte apoptotic process,BP,6,3,0.00872871318165875
GO:0042698,ovulation cycle,BP,11,4,0.00874531962680912
GO:0050864,regulation of B cell activation,BP,11,4,0.00874531962680912
GO:0043534,blood vessel endothelial cell migration,BP,17,5,0.00912290702289516
GO:0044093,positive regulation of molecular function,BP,79,13,0.00912910996469741
GO:0001816,cytokine production,BP,62,11,0.00925649146281088
GO:0071396,cellular response to lipid,BP,88,14,0.00929521271207737
GO:0045444,fat cell differentiation,BP,46,9,0.00963067829922435
GO:1901654,response to ketone,BP,31,7,0.00998899940749451
GO:0034599,cellular response to oxidative stress,BP,31,7,0.00998899940749451
GO:0106106,cold-induced thermogenesis,BP,24,6,0.0101437884033576
GO:0120161,regulation of cold-induced thermogenesis,BP,24,6,0.0101437884033576
GO:1990845,adaptive thermogenesis,BP,24,6,0.0101437884033576
GO:0010038,response to metal ion,BP,24,6,0.0101437884033576
GO:0035556,intracellular signal transduction,BP,126,18,0.0103111641369945
GO:0008219,cell death,BP,205,26,0.0103982218532729
GO:0007623,circadian rhythm,BP,39,8,0.0108771021286101
GO:0043065,positive regulation of apoptotic process,BP,55,10,0.0109120955088319
GO:0043068,positive regulation of programmed cell death,BP,55,10,0.0109120955088319
GO:0010628,positive regulation of gene expression,BP,146,20,0.0109729532994408
GO:0034613,cellular protein localization,BP,47,9,0.0111080590479982
GO:0048872,homeostasis of number of cells,BP,47,9,0.0111080590479982
GO:0071407,cellular response to organic cyclic compound,BP,81,13,0.0112638215033769
GO:0032943,mononuclear cell proliferation,BP,18,5,0.0118232901998324
GO:0046651,lymphocyte proliferation,BP,18,5,0.0118232901998324
GO:0030218,erythrocyte differentiation,BP,32,7,0.0119391552617243
GO:0043523,regulation of neuron apoptotic process,BP,32,7,0.0119391552617243
GO:0048534,hematopoietic or lymphoid organ development,BP,157,21,0.0119957158106293
GO:0048583,regulation of response to stimulus,BP,228,28,0.0120822435277279
GO:0048167,regulation of synaptic plasticity,BP,12,4,0.0123038032260015
GO:0070727,cellular macromolecule localization,BP,48,9,0.0127497867333926
GO:0006996,organelle organization,BP,158,21,0.0128787216208728
GO:0002520,immune system development,BP,158,21,0.0128787216208728
GO:0051239,regulation of multicellular organismal process,BP,326,37,0.0135663915737311
GO:0034101,erythrocyte homeostasis,BP,33,7,0.0141510967434449
GO:0009301,snRNA transcription,BP,7,3,0.0143748315967305
GO:0031497,chromatin assembly,BP,7,3,0.0143748315967305
GO:0055012,ventricular cardiac muscle cell differentiation,BP,7,3,0.0143748315967305
GO:0021546,rhombomere development,BP,7,3,0.0143748315967305
GO:0010469,regulation of signaling receptor activity,BP,7,3,0.0143748315967305
GO:0043536,positive regulation of blood vessel endothelial cell migration,BP,7,3,0.0143748315967305
GO:0070227,lymphocyte apoptotic process,BP,7,3,0.0143748315967305
GO:0007049,cell cycle,BP,150,20,0.0146983374574292
GO:0051270,regulation of cellular component movement,BP,66,11,0.014749792632893
GO:0071248,cellular response to metal ion,BP,19,5,0.0150209405341171
GO:0070661,leukocyte proliferation,BP,19,5,0.0150209405341171
GO:0006950,response to stress,BP,223,27,0.0165598509132278
GO:0002262,myeloid cell homeostasis,BP,34,7,0.0166424086120271
GO:0045785,positive regulation of cell adhesion,BP,34,7,0.0166424086120271
GO:0043525,positive regulation of neuron apoptotic process,BP,13,4,0.0166720770758533
GO:0071466,cellular response to xenobiotic stimulus,BP,13,4,0.0166720770758533
GO:0022411,cellular component disassembly,BP,13,4,0.0166720770758533
GO:0043535,regulation of blood vessel endothelial cell migration,BP,13,4,0.0166720770758533
GO:0001819,positive regulation of cytokine production,BP,42,8,0.0169567038562791
GO:1901214,regulation of neuron death,BP,42,8,0.0169567038562791
GO:0051246,regulation of protein metabolic process,BP,123,17,0.0173452503741354
GO:0033036,macromolecule localization,BP,95,14,0.0179452154003831
GO:0001659,temperature homeostasis,BP,27,6,0.0182246229913723
GO:0046907,intracellular transport,BP,27,6,0.0182246229913723
GO:1903706,regulation of hemopoiesis,BP,77,12,0.0184515816718365
GO:1904996,positive regulation of leukocyte adhesion to vascular endothelial cell,BP,3,2,0.0185999082140733
GO:0036499,PERK-mediated unfolded protein response,BP,3,2,0.0185999082140733
GO:0140467,integrated stress response signaling,BP,3,2,0.0185999082140733
GO:0043488,regulation of mRNA stability,BP,3,2,0.0185999082140733
GO:0043489,RNA stabilization,BP,3,2,0.0185999082140733
GO:0048255,mRNA stabilization,BP,3,2,0.0185999082140733
GO:0061013,regulation of mRNA catabolic process,BP,3,2,0.0185999082140733
GO:1902369,negative regulation of RNA catabolic process,BP,3,2,0.0185999082140733
GO:1902373,negative regulation of mRNA catabolic process,BP,3,2,0.0185999082140733
GO:1903312,negative regulation of mRNA metabolic process,BP,3,2,0.0185999082140733
GO:0006611,protein export from nucleus,BP,3,2,0.0185999082140733
GO:0021569,rhombomere 3 development,BP,3,2,0.0185999082140733
GO:0021571,rhombomere 5 development,BP,3,2,0.0185999082140733
GO:0021612,facial nerve structural organization,BP,3,2,0.0185999082140733
GO:0035283,central nervous system segmentation,BP,3,2,0.0185999082140733
GO:0035284,brain segmentation,BP,3,2,0.0185999082140733
GO:0019935,cyclic-nucleotide-mediated signaling,BP,3,2,0.0185999082140733
GO:0002634,regulation of germinal center formation,BP,3,2,0.0185999082140733
GO:0031124,mRNA 3'-end processing,BP,3,2,0.0185999082140733
GO:0032736,positive regulation of interleukin-13 production,BP,3,2,0.0185999082140733
GO:0050853,B cell receptor signaling pathway,BP,3,2,0.0185999082140733
GO:0001782,B cell homeostasis,BP,3,2,0.0185999082140733
GO:0008088,axo-dendritic transport,BP,3,2,0.0185999082140733
GO:0010970,transport along microtubule,BP,3,2,0.0185999082140733
GO:0030705,cytoskeleton-dependent intracellular transport,BP,3,2,0.0185999082140733
GO:0036475,neuron death in response to oxidative stress,BP,3,2,0.0185999082140733
GO:1903203,regulation of oxidative stress-induced neuron death,BP,3,2,0.0185999082140733
GO:1903204,negative regulation of oxidative stress-induced neuron death,BP,3,2,0.0185999082140733
GO:0045628,regulation of T-helper 2 cell differentiation,BP,3,2,0.0185999082140733
GO:0050685,positive regulation of mRNA processing,BP,3,2,0.0185999082140733
GO:1903313,positive regulation of mRNA metabolic process,BP,3,2,0.0185999082140733
GO:0032092,positive regulation of protein binding,BP,3,2,0.0185999082140733
GO:0046685,response to arsenic-containing substance,BP,3,2,0.0185999082140733
GO:0071243,cellular response to arsenic-containing substance,BP,3,2,0.0185999082140733
GO:2000725,regulation of cardiac muscle cell differentiation,BP,3,2,0.0185999082140733
GO:0030890,positive regulation of B cell proliferation,BP,3,2,0.0185999082140733
GO:1905380,regulation of snRNA transcription by RNA polymerase II,BP,3,2,0.0185999082140733
GO:0000302,response to reactive oxygen species,BP,20,5,0.01875113137995
GO:0071241,cellular response to inorganic substance,BP,20,5,0.01875113137995
GO:0045445,myoblast differentiation,BP,20,5,0.01875113137995
GO:0043207,response to external biotic stimulus,BP,69,11,0.020273111154973
GO:0051707,response to other organism,BP,69,11,0.020273111154973
GO:0006259,DNA metabolic process,BP,78,12,0.020317534738789
GO:0048584,positive regulation of response to stimulus,BP,116,16,0.0212245853377726
GO:0032633,interleukin-4 production,BP,8,3,0.0216493946256636
GO:0032673,regulation of interleukin-4 production,BP,8,3,0.0216493946256636
GO:0043393,regulation of protein binding,BP,8,3,0.0216493946256636
GO:0009299,mRNA transcription,BP,8,3,0.0216493946256636
GO:0042490,mechanoreceptor differentiation,BP,8,3,0.0216493946256636
GO:0042491,inner ear auditory receptor cell differentiation,BP,8,3,0.0216493946256636
GO:0060113,inner ear receptor cell differentiation,BP,8,3,0.0216493946256636
GO:0045622,regulation of T-helper cell differentiation,BP,8,3,0.0216493946256636
GO:0002260,lymphocyte homeostasis,BP,8,3,0.0216493946256636
GO:1901564,organonitrogen compound metabolic process,BP,207,25,0.0218277683357597
GO:0071103,DNA conformation change,BP,14,4,0.0219000818227792
GO:0032944,regulation of mononuclear cell proliferation,BP,14,4,0.0219000818227792
GO:0050670,regulation of lymphocyte proliferation,BP,14,4,0.0219000818227792
GO:0010506,regulation of autophagy,BP,14,4,0.0219000818227792
GO:0002682,regulation of immune system process,BP,107,15,0.0222287945634539
GO:0051272,positive regulation of cellular component movement,BP,36,7,0.0225299733353837
GO:0051402,neuron apoptotic process,BP,36,7,0.0225299733353837
GO:0051179,localization,BP,240,28,0.023591527659053
GO:0019538,protein metabolic process,BP,189,23,0.0255706351631724
GO:0033365,protein localization to organelle,BP,37,7,0.0259574339039982
GO:0065009,regulation of molecular function,BP,139,18,0.0269840198968614
GO:0070301,cellular response to hydrogen peroxide,BP,15,4,0.0280254284499124
GO:0070663,regulation of leukocyte proliferation,BP,15,4,0.0280254284499124
GO:0048771,tissue remodeling,BP,15,4,0.0280254284499124
GO:0070997,neuron death,BP,46,8,0.0284522688140904
GO:0042981,regulation of apoptotic process,BP,160,20,0.0284649402958974
GO:2000026,regulation of multicellular organismal development,BP,233,27,0.0284757570002292
GO:0032879,regulation of localization,BP,120,16,0.028500697669779
GO:0009628,response to abiotic stimulus,BP,82,12,0.0292164223685494
GO:0051098,regulation of binding,BP,55,9,0.0296990747164954
GO:0045597,positive regulation of cell differentiation,BP,171,21,0.0298122902987409
GO:0010243,response to organonitrogen compound,BP,73,11,0.0298546514368259
GO:0006338,chromatin remodeling,BP,30,6,0.0298931707713106
GO:0040012,regulation of locomotion,BP,64,10,0.0300777987842502
GO:0043067,regulation of programmed cell death,BP,161,20,0.0302549723357819
GO:0098781,ncRNA transcription,BP,9,3,0.030575275908101
GO:0070542,response to fatty acid,BP,9,3,0.030575275908101
GO:0006984,ER-nucleus signaling pathway,BP,9,3,0.030575275908101
GO:0001776,leukocyte homeostasis,BP,9,3,0.030575275908101
GO:0035315,hair cell differentiation,BP,9,3,0.030575275908101
GO:0008104,protein localization,BP,83,12,0.0318271296734851
GO:0042127,regulation of cell population proliferation,BP,246,28,0.0319521353507046
GO:1901698,response to nitrogen compound,BP,74,11,0.0326885459651843
GO:0051249,regulation of lymphocyte activation,BP,39,7,0.0338496909940116
GO:0009410,response to xenobiotic stimulus,BP,39,7,0.0338496909940116
GO:0006952,defense response,BP,84,12,0.0346026177326984
GO:0050679,positive regulation of epithelial cell proliferation,BP,31,6,0.0346701718986265
GO:0065008,regulation of biological quality,BP,205,24,0.0346880352652516
GO:0002274,myeloid leukocyte activation,BP,16,4,0.0350736018608269
GO:0006886,intracellular protein transport,BP,16,4,0.0350736018608269
GO:1901655,cellular response to ketone,BP,16,4,0.0350736018608269
GO:0019932,second-messenger-mediated signaling,BP,16,4,0.0350736018608269
GO:0006914,autophagy,BP,16,4,0.0350736018608269
GO:0061919,process utilizing autophagic mechanism,BP,16,4,0.0350736018608269
GO:0042592,homeostatic process,BP,133,17,0.0351100092038141
GO:0000380,alternative mRNA splicing, via spliceosome,BP,4,2,0.0352270784592186
GO:0000381,regulation of alternative mRNA splicing, via spliceosome,BP,4,2,0.0352270784592186
GO:0061756,leukocyte adhesion to vascular endothelial cell,BP,4,2,0.0352270784592186
GO:1904994,regulation of leukocyte adhesion to vascular endothelial cell,BP,4,2,0.0352270784592186
GO:0071391,cellular response to estrogen stimulus,BP,4,2,0.0352270784592186
GO:0070585,protein localization to mitochondrion,BP,4,2,0.0352270784592186
GO:0072655,establishment of protein localization to mitochondrion,BP,4,2,0.0352270784592186
GO:0032757,positive regulation of interleukin-8 production,BP,4,2,0.0352270784592186
GO:0051646,mitochondrion localization,BP,4,2,0.0352270784592186
GO:0006402,mRNA catabolic process,BP,4,2,0.0352270784592186
GO:0043276,anoikis,BP,4,2,0.0352270784592186
GO:0043487,regulation of RNA stability,BP,4,2,0.0352270784592186
GO:0021561,facial nerve development,BP,4,2,0.0352270784592186
GO:0021604,cranial nerve structural organization,BP,4,2,0.0352270784592186
GO:0021610,facial nerve morphogenesis,BP,4,2,0.0352270784592186
GO:0048625,myoblast fate commitment,BP,4,2,0.0352270784592186
GO:0043696,dedifferentiation,BP,4,2,0.0352270784592186
GO:0043697,cell dedifferentiation,BP,4,2,0.0352270784592186
GO:0006303,double-strand break repair via nonhomologous end joining,BP,4,2,0.0352270784592186
GO:0002467,germinal center formation,BP,4,2,0.0352270784592186
GO:0071549,cellular response to dexamethasone stimulus,BP,4,2,0.0352270784592186
GO:0032616,interleukin-13 production,BP,4,2,0.0352270784592186
GO:0032656,regulation of interleukin-13 production,BP,4,2,0.0352270784592186
GO:0000422,autophagy of mitochondrion,BP,4,2,0.0352270784592186
GO:0061419,positive regulation of transcription from RNA polymerase II promoter in response to hypoxia,BP,4,2,0.0352270784592186
GO:0061726,mitochondrion disassembly,BP,4,2,0.0352270784592186
GO:0099111,microtubule-based transport,BP,4,2,0.0352270784592186
GO:1903008,organelle disassembly,BP,4,2,0.0352270784592186
GO:1903146,regulation of autophagy of mitochondrion,BP,4,2,0.0352270784592186
GO:0101023,vascular endothelial cell proliferation,BP,4,2,0.0352270784592186
GO:1905562,regulation of vascular endothelial cell proliferation,BP,4,2,0.0352270784592186
GO:0010941,regulation of cell death,BP,174,21,0.0354480310581172
GO:0051649,establishment of localization in cell,BP,48,8,0.0358621091726526
GO:0002694,regulation of leukocyte activation,BP,48,8,0.0358621091726526
GO:0006974,cellular response to DNA damage stimulus,BP,66,10,0.0364338171967333
GO:0048545,response to steroid hormone,BP,57,9,0.0365801980210215
GO:0032504,multicellular organism reproduction,BP,104,14,0.0368233148607576
GO:0048609,multicellular organismal reproductive process,BP,104,14,0.0368233148607576
GO:0032268,regulation of cellular protein metabolic process,BP,114,15,0.0373202545420286
GO:0044267,cellular protein metabolic process,BP,175,21,0.0374945088302367
GO:0071695,anatomical structure maturation,BP,40,7,0.0383387706787336
GO:0007568,aging,BP,40,7,0.0383387706787336
GO:0050793,regulation of developmental process,BP,372,39,0.0389972420449417
GO:0032496,response to lipopolysaccharide,BP,24,5,0.0395537006646146
GO:0055007,cardiac muscle cell differentiation,BP,24,5,0.0395537006646146
GO:0050865,regulation of cell activation,BP,49,8,0.0400173924526231
GO:0071417,cellular response to organonitrogen compound,BP,49,8,0.0400173924526231
GO:0002684,positive regulation of immune system process,BP,49,8,0.0400173924526231
GO:0045637,regulation of myeloid cell differentiation,BP,49,8,0.0400173924526231
GO:0001817,regulation of cytokine production,BP,58,9,0.0404024296789328
GO:0030334,regulation of cell migration,BP,58,9,0.0404024296789328
GO:0006323,DNA packaging,BP,10,3,0.0411356078421854
GO:0070306,lens fiber cell differentiation,BP,10,3,0.0411356078421854
GO:0034655,nucleobase-containing compound catabolic process,BP,10,3,0.0411356078421854
GO:0007165,signal transduction,BP,318,34,0.0423976341753888
GO:0051234,establishment of localization,BP,116,15,0.042754691426915
GO:0034614,cellular response to reactive oxygen species,BP,17,4,0.0430584310417289
GO:0007005,mitochondrion organization,BP,17,4,0.0430584310417289
GO:0002294,CD4-positive, alpha-beta T cell differentiation involved in immune response,BP,17,4,0.0430584310417289
GO:0042093,T-helper cell differentiation,BP,17,4,0.0430584310417289
GO:0007017,microtubule-based process,BP,17,4,0.0430584310417289
GO:0045646,regulation of erythrocyte differentiation,BP,17,4,0.0430584310417289
GO:0051146,striated muscle cell differentiation,BP,41,7,0.0432037169882673
GO:0080135,regulation of cellular response to stress,BP,50,8,0.0444839677344925
GO:1901699,cellular response to nitrogen compound,BP,50,8,0.0444839677344925
GO:0008284,positive regulation of cell population proliferation,BP,137,17,0.0451090146834228
GO:0006810,transport,BP,107,14,0.0455248130292695
GO:0009743,response to carbohydrate,BP,33,6,0.045641278762323
GO:0030335,positive regulation of cell migration,BP,33,6,0.045641278762323
GO:0002237,response to molecule of bacterial origin,BP,25,5,0.0463231628480978
GO:0002285,lymphocyte activation involved in immune response,BP,25,5,0.0463231628480978
GO:1903039,positive regulation of leukocyte cell-cell adhesion,BP,25,5,0.0463231628480978
GO:0080134,regulation of response to stress,BP,88,12,0.0474466888057913
GO:0002573,myeloid leukocyte differentiation,BP,42,7,0.0484531196146649
GO:0023052,signaling,BP,344,36,0.0489938025788029
